DIA_TRANSPORTE,"AMBA","MOTIVO_ATSF","GENERO","TIPO_TRANSPORTE",CANT_TRJ,"DATO_PRELIMINAR"
2021-01-01,"NO",,,"COLECTIVO",33231,"NO"
2021-01-01,"NO",,,"LANCHA",0,"NO"
2021-01-01,"NO",,,"SUBTE",0,"NO"
2021-01-01,"NO",,,"TOTAL",33231,"NO"
2021-01-01,"NO",,,"TREN",0,"NO"
2021-01-01,"NO",,"F","COLECTIVO",13693,"NO"
2021-01-01,"NO",,"F","LANCHA",2,"NO"
2021-01-01,"NO",,"F","SUBTE",0,"NO"
2021-01-01,"NO",,"F","TOTAL",13695,"NO"
2021-01-01,"NO",,"F","TREN",0,"NO"
2021-01-01,"NO",,"M","COLECTIVO",12866,"NO"
2021-01-01,"NO",,"M","LANCHA",4,"NO"
2021-01-01,"NO",,"M","SUBTE",0,"NO"
2021-01-01,"NO",,"M","TOTAL",12870,"NO"
2021-01-01,"NO",,"M","TREN",0,"NO"
2021-01-01,"NO","AUH","F","COLECTIVO",7128,"NO"
2021-01-01,"NO","AUH","F","LANCHA",0,"NO"
2021-01-01,"NO","AUH","F","SUBTE",0,"NO"
2021-01-01,"NO","AUH","F","TOTAL",7128,"NO"
2021-01-01,"NO","AUH","F","TREN",0,"NO"
2021-01-01,"NO","AUH","M","COLECTIVO",200,"NO"
2021-01-01,"NO","AUH","M","LANCHA",0,"NO"
2021-01-01,"NO","AUH","M","SUBTE",0,"NO"
2021-01-01,"NO","AUH","M","TOTAL",200,"NO"
2021-01-01,"NO","AUH","M","TREN",0,"NO"
2021-01-01,"NO","JUBILACION","F","COLECTIVO",4645,"NO"
2021-01-01,"NO","JUBILACION","F","LANCHA",2,"NO"
2021-01-01,"NO","JUBILACION","F","SUBTE",0,"NO"
2021-01-01,"NO","JUBILACION","F","TOTAL",4647,"NO"
2021-01-01,"NO","JUBILACION","F","TREN",0,"NO"
2021-01-01,"NO","JUBILACION","M","COLECTIVO",2510,"NO"
2021-01-01,"NO","JUBILACION","M","LANCHA",2,"NO"
2021-01-01,"NO","JUBILACION","M","SUBTE",0,"NO"
2021-01-01,"NO","JUBILACION","M","TOTAL",2512,"NO"
2021-01-01,"NO","JUBILACION","M","TREN",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",666,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","F","SUBTE",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","F","TOTAL",666,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","F","TREN",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","M","COLECTIVO",394,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","M","SUBTE",0,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","M","TOTAL",394,"NO"
2021-01-01,"NO","MONOTRIBUTO SOCIAL","M","TREN",0,"NO"
2021-01-01,"NO","OTRO","F","COLECTIVO",226,"NO"
2021-01-01,"NO","OTRO","F","LANCHA",0,"NO"
2021-01-01,"NO","OTRO","F","SUBTE",0,"NO"
2021-01-01,"NO","OTRO","F","TOTAL",226,"NO"
2021-01-01,"NO","OTRO","F","TREN",0,"NO"
2021-01-01,"NO","OTRO","M","COLECTIVO",133,"NO"
2021-01-01,"NO","OTRO","M","LANCHA",0,"NO"
2021-01-01,"NO","OTRO","M","SUBTE",0,"NO"
2021-01-01,"NO","OTRO","M","TOTAL",133,"NO"
2021-01-01,"NO","OTRO","M","TREN",0,"NO"
2021-01-01,"NO","PENSION","F","COLECTIVO",3373,"NO"
2021-01-01,"NO","PENSION","F","LANCHA",1,"NO"
2021-01-01,"NO","PENSION","F","SUBTE",0,"NO"
2021-01-01,"NO","PENSION","F","TOTAL",3374,"NO"
2021-01-01,"NO","PENSION","F","TREN",0,"NO"
2021-01-01,"NO","PENSION","M","COLECTIVO",1786,"NO"
2021-01-01,"NO","PENSION","M","LANCHA",0,"NO"
2021-01-01,"NO","PENSION","M","SUBTE",0,"NO"
2021-01-01,"NO","PENSION","M","TOTAL",1786,"NO"
2021-01-01,"NO","PENSION","M","TREN",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",1972,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",1972,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",28,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",0,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",28,"NO"
2021-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",0,"NO"
2021-01-01,"NO","PROGRESAR","F","COLECTIVO",1698,"NO"
2021-01-01,"NO","PROGRESAR","F","LANCHA",0,"NO"
2021-01-01,"NO","PROGRESAR","F","SUBTE",0,"NO"
2021-01-01,"NO","PROGRESAR","F","TOTAL",1698,"NO"
2021-01-01,"NO","PROGRESAR","F","TREN",0,"NO"
2021-01-01,"NO","PROGRESAR","M","COLECTIVO",985,"NO"
2021-01-01,"NO","PROGRESAR","M","LANCHA",0,"NO"
2021-01-01,"NO","PROGRESAR","M","SUBTE",0,"NO"
2021-01-01,"NO","PROGRESAR","M","TOTAL",985,"NO"
2021-01-01,"NO","PROGRESAR","M","TREN",0,"NO"
2021-01-01,"SI",,,"COLECTIVO",153741,"NO"
2021-01-01,"SI",,,"LANCHA",0,"NO"
2021-01-01,"SI",,,"SUBTE",7141,"NO"
2021-01-01,"SI",,,"TOTAL",160950,"NO"
2021-01-01,"SI",,,"TREN",13992,"NO"
2021-01-01,"SI",,"F","COLECTIVO",74900,"NO"
2021-01-01,"SI",,"F","LANCHA",0,"NO"
2021-01-01,"SI",,"F","SUBTE",3019,"NO"
2021-01-01,"SI",,"F","TOTAL",78119,"NO"
2021-01-01,"SI",,"F","TREN",7416,"NO"
2021-01-01,"SI",,"M","COLECTIVO",80699,"NO"
2021-01-01,"SI",,"M","LANCHA",0,"NO"
2021-01-01,"SI",,"M","SUBTE",4103,"NO"
2021-01-01,"SI",,"M","TOTAL",84576,"NO"
2021-01-01,"SI",,"M","TREN",9345,"NO"
2021-01-01,"SI","AUH","F","COLECTIVO",35205,"NO"
2021-01-01,"SI","AUH","F","LANCHA",0,"NO"
2021-01-01,"SI","AUH","F","SUBTE",469,"NO"
2021-01-01,"SI","AUH","F","TOTAL",35640,"NO"
2021-01-01,"SI","AUH","F","TREN",2178,"NO"
2021-01-01,"SI","AUH","M","COLECTIVO",1609,"NO"
2021-01-01,"SI","AUH","M","LANCHA",0,"NO"
2021-01-01,"SI","AUH","M","SUBTE",30,"NO"
2021-01-01,"SI","AUH","M","TOTAL",1637,"NO"
2021-01-01,"SI","AUH","M","TREN",132,"NO"
2021-01-01,"SI","JUBILACION","F","COLECTIVO",24160,"NO"
2021-01-01,"SI","JUBILACION","F","LANCHA",0,"NO"
2021-01-01,"SI","JUBILACION","F","SUBTE",418,"NO"
2021-01-01,"SI","JUBILACION","F","TOTAL",24631,"NO"
2021-01-01,"SI","JUBILACION","F","TREN",1505,"NO"
2021-01-01,"SI","JUBILACION","M","COLECTIVO",12922,"NO"
2021-01-01,"SI","JUBILACION","M","LANCHA",0,"NO"
2021-01-01,"SI","JUBILACION","M","SUBTE",252,"NO"
2021-01-01,"SI","JUBILACION","M","TOTAL",13165,"NO"
2021-01-01,"SI","JUBILACION","M","TREN",829,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","F","COLECTIVO",3999,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","F","SUBTE",85,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","F","TOTAL",4084,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","F","TREN",325,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","M","COLECTIVO",2907,"NO"
2021-01-01,"SI","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
