DIA_TRANSPORTE,"AMBA","MOTIVO_ATSF","GENERO","TIPO_TRANSPORTE",CANT_TRJ,"DATO_PRELIMINAR"
2023-01-01,"NO",,,"COLECTIVO",49330,"NO"
2023-01-01,"NO",,,"LANCHA",6,"NO"
2023-01-01,"NO",,,"SUBTE",0,"NO"
2023-01-01,"NO",,,"TOTAL",49336,"NO"
2023-01-01,"NO",,,"TREN",0,"NO"
2023-01-01,"NO",,"F","COLECTIVO",27008,"NO"
2023-01-01,"NO",,"F","LANCHA",4,"NO"
2023-01-01,"NO",,"F","SUBTE",0,"NO"
2023-01-01,"NO",,"F","TOTAL",27012,"NO"
2023-01-01,"NO",,"F","TREN",0,"NO"
2023-01-01,"NO",,"M","COLECTIVO",25200,"NO"
2023-01-01,"NO",,"M","LANCHA",1,"NO"
2023-01-01,"NO",,"M","SUBTE",0,"NO"
2023-01-01,"NO",,"M","TOTAL",25201,"NO"
2023-01-01,"NO",,"M","TREN",0,"NO"
2023-01-01,"NO",,"X","COLECTIVO",1,"NO"
2023-01-01,"NO",,"X","LANCHA",0,"NO"
2023-01-01,"NO",,"X","SUBTE",0,"NO"
2023-01-01,"NO",,"X","TOTAL",1,"NO"
2023-01-01,"NO",,"X","TREN",0,"NO"
2023-01-01,"NO","AUH","F","COLECTIVO",12996,"NO"
2023-01-01,"NO","AUH","F","LANCHA",0,"NO"
2023-01-01,"NO","AUH","F","SUBTE",0,"NO"
2023-01-01,"NO","AUH","F","TOTAL",12996,"NO"
2023-01-01,"NO","AUH","F","TREN",0,"NO"
2023-01-01,"NO","AUH","M","COLECTIVO",497,"NO"
2023-01-01,"NO","AUH","M","LANCHA",0,"NO"
2023-01-01,"NO","AUH","M","SUBTE",0,"NO"
2023-01-01,"NO","AUH","M","TOTAL",497,"NO"
2023-01-01,"NO","AUH","M","TREN",0,"NO"
2023-01-01,"NO","JUBILACION","F","COLECTIVO",11074,"NO"
2023-01-01,"NO","JUBILACION","F","LANCHA",1,"NO"
2023-01-01,"NO","JUBILACION","F","SUBTE",0,"NO"
2023-01-01,"NO","JUBILACION","F","TOTAL",11075,"NO"
2023-01-01,"NO","JUBILACION","F","TREN",0,"NO"
2023-01-01,"NO","JUBILACION","M","COLECTIVO",5208,"NO"
2023-01-01,"NO","JUBILACION","M","LANCHA",2,"NO"
2023-01-01,"NO","JUBILACION","M","SUBTE",0,"NO"
2023-01-01,"NO","JUBILACION","M","TOTAL",5210,"NO"
2023-01-01,"NO","JUBILACION","M","TREN",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",1542,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","F","SUBTE",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","F","TOTAL",1542,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","F","TREN",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","M","COLECTIVO",1028,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","M","SUBTE",0,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","M","TOTAL",1028,"NO"
2023-01-01,"NO","MONOTRIBUTO SOCIAL","M","TREN",0,"NO"
2023-01-01,"NO","OTRO","F","COLECTIVO",1864,"NO"
2023-01-01,"NO","OTRO","F","LANCHA",0,"NO"
2023-01-01,"NO","OTRO","F","SUBTE",0,"NO"
2023-01-01,"NO","OTRO","F","TOTAL",1864,"NO"
2023-01-01,"NO","OTRO","F","TREN",0,"NO"
2023-01-01,"NO","OTRO","M","COLECTIVO",1278,"NO"
2023-01-01,"NO","OTRO","M","LANCHA",0,"NO"
2023-01-01,"NO","OTRO","M","SUBTE",0,"NO"
2023-01-01,"NO","OTRO","M","TOTAL",1278,"NO"
2023-01-01,"NO","OTRO","M","TREN",0,"NO"
2023-01-01,"NO","OTRO","X","COLECTIVO",1,"NO"
2023-01-01,"NO","OTRO","X","LANCHA",0,"NO"
2023-01-01,"NO","OTRO","X","SUBTE",0,"NO"
2023-01-01,"NO","OTRO","X","TOTAL",1,"NO"
2023-01-01,"NO","OTRO","X","TREN",0,"NO"
2023-01-01,"NO","PENSION","F","COLECTIVO",6764,"NO"
2023-01-01,"NO","PENSION","F","LANCHA",2,"NO"
2023-01-01,"NO","PENSION","F","SUBTE",0,"NO"
2023-01-01,"NO","PENSION","F","TOTAL",6766,"NO"
2023-01-01,"NO","PENSION","F","TREN",0,"NO"
2023-01-01,"NO","PENSION","M","COLECTIVO",4304,"NO"
2023-01-01,"NO","PENSION","M","LANCHA",0,"NO"
2023-01-01,"NO","PENSION","M","SUBTE",0,"NO"
2023-01-01,"NO","PENSION","M","TOTAL",4304,"NO"
2023-01-01,"NO","PENSION","M","TREN",0,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",3584,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",1,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",0,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",3585,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",0,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",51,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",0,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",51,"NO"
2023-01-01,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",0,"NO"
2023-01-01,"NO","PROGRESAR","F","COLECTIVO",6666,"NO"
2023-01-01,"NO","PROGRESAR","F","LANCHA",1,"NO"
2023-01-01,"NO","PROGRESAR","F","SUBTE",0,"NO"
